"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 28 18:07:26 GMT 2023","Tue Nov 28 18:07:26 GMT 2023","193","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Tue Nov 28 18:07:26 GMT 2023","Tue Nov 28 18:07:27 GMT 2023","998","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"passed","Tue Nov 28 18:07:27 GMT 2023","Tue Nov 28 18:07:28 GMT 2023","783","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Tue Nov 28 18:07:26 GMT 2023","Tue Nov 28 18:07:27 GMT 2023","697","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"passed","Tue Nov 28 18:07:23 GMT 2023","Tue Nov 28 18:07:26 GMT 2023","2770","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Tue Nov 28 18:07:23 GMT 2023","Tue Nov 28 18:07:26 GMT 2023","2109","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Tue Nov 28 18:07:23 GMT 2023","Tue Nov 28 18:07:26 GMT 2023","2548","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
"failed","Tue Nov 28 18:07:26 GMT 2023","Tue Nov 28 18:07:26 GMT 2023","215","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"failed","Tue Nov 28 18:07:26 GMT 2023","Tue Nov 28 18:07:26 GMT 2023","194","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Tue Nov 28 18:07:28 GMT 2023","Tue Nov 28 18:07:29 GMT 2023","1101","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
