"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3112","verify that create space successfully","Setel Regression Suite","Wed Feb 26 18:10:21 GMT 2025","passed","Wed Feb 26 18:10:24 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","1288","verify that get space successfully","Setel Regression Suite","Wed Feb 26 18:10:25 GMT 2025","passed","Wed Feb 26 18:10:26 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","2606","verify that delete folder successfully","Setel Regression Suite","Wed Feb 26 18:10:21 GMT 2025","passed","Wed Feb 26 18:10:24 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","332","verify that get list successfully","Setel Regression Suite","Wed Feb 26 18:10:23 GMT 2025","failed","Wed Feb 26 18:10:24 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","344","verify that delete list successfully","Setel Regression Suite","Wed Feb 26 18:10:23 GMT 2025","failed","Wed Feb 26 18:10:23 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","366","verify that update list successfully","Setel Regression Suite","Wed Feb 26 18:10:24 GMT 2025","failed","Wed Feb 26 18:10:24 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","1619","verify that update space successfully","Setel Regression Suite","Wed Feb 26 18:10:26 GMT 2025","passed","Wed Feb 26 18:10:28 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","1928","verify that create list successfully","Setel Regression Suite","Wed Feb 26 18:10:21 GMT 2025","failed","Wed Feb 26 18:10:23 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","881","verify that delete space successfully","Setel Regression Suite","Wed Feb 26 18:10:24 GMT 2025","passed","Wed Feb 26 18:10:25 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","1490","get folder successfully","Setel Regression Suite","Wed Feb 26 18:10:24 GMT 2025","passed","Wed Feb 26 18:10:25 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
