"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2546","verify that delete folder successfully","Setel Regression Suite","Mon Jan 20 18:09:32 GMT 2025","passed","Mon Jan 20 18:09:35 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","2079","verify that create list successfully","Setel Regression Suite","Mon Jan 20 18:09:32 GMT 2025","failed","Mon Jan 20 18:09:34 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","320","verify that update list successfully","Setel Regression Suite","Mon Jan 20 18:09:35 GMT 2025","failed","Mon Jan 20 18:09:35 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","1202","verify that get space successfully","Setel Regression Suite","Mon Jan 20 18:09:36 GMT 2025","passed","Mon Jan 20 18:09:38 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","1625","verify that update space successfully","Setel Regression Suite","Mon Jan 20 18:09:38 GMT 2025","passed","Mon Jan 20 18:09:39 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
"","320","verify that get list successfully","Setel Regression Suite","Mon Jan 20 18:09:35 GMT 2025","failed","Mon Jan 20 18:09:35 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","334","verify that delete list successfully","Setel Regression Suite","Mon Jan 20 18:09:34 GMT 2025","failed","Mon Jan 20 18:09:35 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","1425","get folder successfully","Setel Regression Suite","Mon Jan 20 18:09:35 GMT 2025","passed","Mon Jan 20 18:09:36 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","900","verify that delete space successfully","Setel Regression Suite","Mon Jan 20 18:09:36 GMT 2025","passed","Mon Jan 20 18:09:36 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","3339","verify that create space successfully","Setel Regression Suite","Mon Jan 20 18:09:32 GMT 2025","passed","Mon Jan 20 18:09:36 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
