"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 04 18:08:11 GMT 2024","Tue Jun 04 18:08:11 GMT 2024","525","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","update_list_successfully","verify that update list successfully",""
"passed","Tue Jun 04 18:08:13 GMT 2024","Tue Jun 04 18:08:16 GMT 2024","2435","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","update_space_successfully","verify that update space successfully",""
"passed","Tue Jun 04 18:08:06 GMT 2024","Tue Jun 04 18:08:10 GMT 2024","3993","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","create_space_successfully","verify that create space successfully",""
"failed","Tue Jun 04 18:08:06 GMT 2024","Tue Jun 04 18:08:08 GMT 2024","2132","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","create_list_successfully","verify that create list successfully",""
"passed","Tue Jun 04 18:08:10 GMT 2024","Tue Jun 04 18:08:11 GMT 2024","1307","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","delete_space_successfully","verify that delete space successfully",""
"failed","Tue Jun 04 18:08:10 GMT 2024","Tue Jun 04 18:08:11 GMT 2024","523","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","get_list_successfully","verify that get list successfully",""
"passed","Tue Jun 04 18:08:11 GMT 2024","Tue Jun 04 18:08:13 GMT 2024","1887","Setel Regression Suite","Setel Admin test on chrome","api.tests.SpaceTests","api.tests.SpaceTests","get_space_successfully","verify that get space successfully",""
"passed","Tue Jun 04 18:08:09 GMT 2024","Tue Jun 04 18:08:11 GMT 2024","2213","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","get_folder_successfully","get folder successfully",""
"failed","Tue Jun 04 18:08:08 GMT 2024","Tue Jun 04 18:08:10 GMT 2024","2141","Setel Regression Suite","Setel Admin test on chrome","api.tests.ListTests","api.tests.ListTests","delete_list_successfully","verify that delete list successfully",""
"passed","Tue Jun 04 18:08:06 GMT 2024","Tue Jun 04 18:08:09 GMT 2024","2809","Setel Regression Suite","Setel Admin test on chrome","api.tests.FolderTests","api.tests.FolderTests","delete_folder_successfully","verify that delete folder successfully",""
