"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1638","get folder successfully","Setel Regression Suite","Mon Mar 10 18:09:33 GMT 2025","passed","Mon Mar 10 18:09:35 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","get_folder_successfully"
"","2103","verify that create list successfully","Setel Regression Suite","Mon Mar 10 18:09:31 GMT 2025","failed","Mon Mar 10 18:09:33 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","create_list_successfully"
"","1469","verify that get space successfully","Setel Regression Suite","Mon Mar 10 18:09:36 GMT 2025","passed","Mon Mar 10 18:09:37 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","get_space_successfully"
"","4136","verify that create space successfully","Setel Regression Suite","Mon Mar 10 18:09:31 GMT 2025","passed","Mon Mar 10 18:09:35 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","create_space_successfully"
"","1034","verify that delete space successfully","Setel Regression Suite","Mon Mar 10 18:09:35 GMT 2025","passed","Mon Mar 10 18:09:36 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","delete_space_successfully"
"","380","verify that delete list successfully","Setel Regression Suite","Mon Mar 10 18:09:33 GMT 2025","failed","Mon Mar 10 18:09:33 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","delete_list_successfully"
"","2712","verify that delete folder successfully","Setel Regression Suite","Mon Mar 10 18:09:31 GMT 2025","passed","Mon Mar 10 18:09:33 GMT 2025","api.tests.FolderTests","Setel Admin test on chrome","api.tests.FolderTests","delete_folder_successfully"
"","387","verify that get list successfully","Setel Regression Suite","Mon Mar 10 18:09:33 GMT 2025","failed","Mon Mar 10 18:09:34 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","get_list_successfully"
"","368","verify that update list successfully","Setel Regression Suite","Mon Mar 10 18:09:34 GMT 2025","failed","Mon Mar 10 18:09:34 GMT 2025","api.tests.ListTests","Setel Admin test on chrome","api.tests.ListTests","update_list_successfully"
"","1844","verify that update space successfully","Setel Regression Suite","Mon Mar 10 18:09:37 GMT 2025","passed","Mon Mar 10 18:09:39 GMT 2025","api.tests.SpaceTests","Setel Admin test on chrome","api.tests.SpaceTests","update_space_successfully"
